Claim,Table,,,,,,,,,
claim_id,policy_num,claim_date,sanc_date,sanc_amount,cheque_no,reason,,,,
1,4,01-09-2017,16-09-2017,475000,578943,Bad monsoon,,,,
2,18,01-07-2017,16-07-2017,750000,797984,Car accident,,,,
3,15,01-08-2017,16-08-2017,70000,592478,Crop failure,,,,
4,26,01-01-2017,16-01-2017,500000,808156,Luggage lost,,,,
,,,,,,,,,,
Address,Table,,,,,,,,,
Ssn,City,Zip,State,,,,,,,
1000000001,Miami,33283,Florida,,,,,,,
1000000002,Lafayet,47905,Indiana,,,,,,,
1000000003,Dallas,75287,Texas,,,,,,,
1000000004,New Yor,10110,New York,,,,,,,
1000000005,Tampa,33647,Florida,,,,,,,
1000000006,Atlanta,31119,Georgia,,,,,,,
1000000007,Boise,83727,Idaho,,,,,,,
1000000008,Tampa,33633,Florida,,,,,,,
1000000009,Melbour,32941,Florida,,,,,,,
1000000010,Dallas,75387,Texas,,,,,,,
1000000011,Ridgely,21684,Maryland,,,,,,,
1000000012,Phoenix,85030,Arizona,,,,,,,
1000000013,Charlot,28205,North Carolina,,,,,,,
1000000014,San Fra,94164,California,,,,,,,
1000000015,Lansing,48930,Michigan,,,,,,,
1000000016,Tampa,33605,Florida,,,,,,,
1000000017,Jackson,32220,Florida,,,,,,,
1000000018,Richmon,23237,Virginia,,,,,,,
1000000019,Detroit,48211,Michigan,,,,,,,
1000000020,San Jos,95123,California,,,,,,,
1000000021,Austin,78732,Texas,,,,,,,
1000000022,Washing,20525,District of Col,,,,,,,
1000000023,San Fra,94137,California,,,,,,,
1000000024,Charlot,22908,Virginia,,,,,,,
1000000025,Roanoke,24040,Virginia,,,,,,,
1000000026,Los Ang,90040,California,,,,,,,
1000000027,Saint P,55127,Minnesota,,,,,,,
1000000028,Kansas ,64144,Missouri,,,,,,,
1000000029,Omaha,68117,Nebraska,,,,,,,
1000000030,Little ,72222,Arkansas,,,,,,,
,,,,,,,,,,
Agent,Table,,,,,,,,,
Name,Ssn,Salary,Commission,Num_of_policy_done,,,,,,
Obidiah Heathorn,1000000001,94200,17100,12,,,,,,
Ricca Artinstall,1000000002,119400,11300,9,,,,,,
Bernardine Tayloe,1000000003,157900,34900,9,,,,,,
Murray Philippou,1000000004,70000,12100,17,,,,,,
Berrie Chaudrelle,1000000005,158700,33100,14,,,,,,
Minetta Hodjetts,1000000006,87900,7000,23,,,,,,
Marylee Kinnach,1000000007,111800,28200,9,,,,,,
Curtis Clausen-Thue,1000000008,131000,8800,20,,,,,,
Peterus Derwin,1000000009,105500,14500,20,,,,,,
Farlay Varfalameev,1000000010,178000,14000,22,,,,,,
Harmony Ewles,1000000011,81100,34800,7,,,,,,
Simonette Odby,1000000012,135800,20000,11,,,,,,
Lucille Skein,1000000013,138500,27300,16,,,,,,
Katrina Leaburn,1000000014,74700,10400,8,,,,,,
Othilie Eggleson,1000000015,105500,23900,9,,,,,,
Elyse Wells,1000000016,78700,7200,14,,,,,,
Zak Fleetham,1000000017,126100,9300,7,,,,,,
Tine Robert,1000000018,116100,27400,13,,,,,,
Tatiania Dashwood,1000000019,120700,14600,22,,,,,,
Kalli Mould,1000000020,114500,22500,14,,,,,,
Stacia Egalton,1000000021,78900,12800,19,,,,,,
Hollis Persich,1000000022,125400,16100,5,,,,,,
Bonny Janicijevic,1000000023,106600,15400,6,,,,,,
Kane Grcic,1000000024,99600,26500,15,,,,,,
Etan Bernardez,1000000025,139500,31700,11,,,,,,
Darb Spriggin,1000000026,85700,5400,5,,,,,,
See Musso,1000000027,90100,23800,10,,,,,,
Michelina Plank,1000000028,171300,12900,12,,,,,,
Domenic Wooffitt,1000000029,94900,13000,7,,,,,,
Standford Scarre,1000000030,106900,22900,14,,,,,,
,,,,,,,,,,
Agent password, Table,,,,,,,,,
Ssn,Password,,,,,,,,,
1000000027,7Na6GF,,,,,,,,,
1000000028,AJTT2b,,,,,,,,,
1000000006,AW05O1xAc4F3,,,,,,,,,
1000000011,CWhR7FCr,,,,,,,,,
1000000003,cyr6XR8qFB,,,,,,,,,
1000000025,d6ddJklpd,,,,,,,,,
1000000024,d6ddJwMoSX,,,,,,,,,
1000000016,evO6x1doy,,,,,,,,,
1000000021,GPPUDfhno,,,,,,,,,
1000000023,HCun2at88HeF,,,,,,,,,
1000000015,idLenTR342,,,,,,,,,
1000000019,kJ45l7ztNr,,,,,,,,,
1000000008,kqcj3ZCacu,,,,,,,,,
1000000010,LI3CmPoWXYN3,,,,,,,,,
1000000012,LpHxnYnY,,,,,,,,,
1000000030,mNbo0Q1F,,,,,,,,,
1000000004,N4uoBSL0UQ,,,,,,,,,
1000000017,nYNv0tL4gAZ,,,,,,,,,
1000000007,RBpAUoCFWDzh,,,,,,,,,
1000000026,sSkH3CgQ,,,,,,,,,
1000000013,UEA8y24aPvV,,,,,,,,,
1000000009,veu4cx4EotE,,,,,,,,,
1000000014,VNyPTwfNvSs,,,,,,,,,
1000000020,XgwxAT,,,,,,,,,
1000000018,xUdRifCNlT,,,,,,,,,
1000000002,Y2k7u2LfcdFu,,,,,,,,,
1000000029,y7kf2NxXqiB,,,,,,,,,
1000000001,YoJqDBn6L,,,,,,,,,
1000000005,YW494YQ,,,,,,,,,
1000000022,Z7BIDCX,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Customer, Password, Table,,,,,,,,
Ssn,Password,,,,,,,,,
1000000049,3ehpbR6mkup,,,,,,,,,
1000000044,4a2mIQTy8SjS,,,,,,,,,
1000000036,AW05O1xAc4F3,,,,,,,,,
1000000053,cJQb0aiI4,,,,,,,,,
1000000060,cu38wz,,,,,,,,,
1000000041,CWhR7FCr,,,,,,,,,
1000000033,cyr6XR8qFB,,,,,,,,,
1000000059,gyL49k,,,,,,,,,
1000000043,H9CJW6kYNa,,,,,,,,,
1000000047,I7COibx8Y,,,,,,,,,
1000000045,JhIPWE,,,,,,,,,
1000000051,KJYe9ZQ7,,,,,,,,,
1000000038,kqcj3ZCacu,,,,,,,,,
1000000040,LI3CmPoWXYN3,,,,,,,,,
1000000048,lMc1MO,,,,,,,,,
1000000052,MfSsUf2p9,,,,,,,,,
1000000034,N4uoBSL0UQ,,,,,,,,,
1000000058,Nm0GpdyhI3N,,,,,,,,,
1000000046,NVosMsqFz2g,,,,,,,,,
1000000054,pdKQE14,,,,,,,,,
1000000055,qBXb7xNk,,,,,,,,,
1000000050,R7g2wD4yRa,,,,,,,,,
1000000037,RBpAUoCFWDzh,,,,,,,,,
1000000056,roCxj6TYa,,,,,,,,,
1000000042,teTX1FyaEb,,,,,,,,,
1000000057,U1ma4Q8u,,,,,,,,,
1000000039,veu4cx4EotE,,,,,,,,,
